state_name,gccsa_name,sa4_code,sa4_name,natural_increase_2024_25,net_internal_migration_2024_25,net_overseas_migration_2024_25,population_2024,population_2025,region_type,population_change_2024_25,population_growth_rate_2024_25,overseas_migration_rate_2024_25,overseas_migration_share_2024_25
New South Wales,Rest of NSW,101,Capital Region,390,789,942,246255,248376,Regional,2121,0.8613023085825668,0.3825303039532192,0.44413012729844414
New South Wales,Greater Sydney,102,Central Coast,401,238,1823,355354,357816,Capital city,2462,0.6928302481469183,0.5130095622956263,0.7404549147034931
New South Wales,Rest of NSW,103,Central West,474,-437,604,216338,216979,Regional,641,0.29629561149682443,0.2791927446865553,0.9422776911076443
New South Wales,Rest of NSW,104,Coffs Harbour - Grafton,-41,729,586,151057,152331,Regional,1274,0.8433902434180475,0.38793303190186484,0.4599686028257457
New South Wales,Rest of NSW,105,Far West and Orana,498,-810,364,118320,118372,Regional,52,0.04394861392832995,0.3076402974983097,7
New South Wales,Rest of NSW,106,Hunter Valley exc Newcastle,1278,3327,821,310824,316250,Regional,5426,1.7456824440841119,0.2641366175070136,0.1513085145595282
New South Wales,Rest of NSW,107,Illawarra,904,783,1983,326799,330469,Regional,3670,1.1230144523086056,0.606795002432688,0.5403269754768393
New South Wales,Rest of NSW,108,Mid North Coast,-865,2727,540,237164,239566,Regional,2402,1.0128012683206558,0.22769054325277024,0.2248126561199001
New South Wales,Rest of NSW,109,Murray,224,829,419,128606,130078,Regional,1472,1.1445811237422827,0.32580128454348944,0.28464673913043476
New South Wales,Rest of NSW,110,New England and North West,449,-608,725,190835,191401,Regional,566,0.2965912961458852,0.379909345769906,1.2809187279151943
New South Wales,Rest of NSW,111,Newcastle and Lake Macquarie,702,1459,2344,407854,412359,Regional,4505,1.1045619265717634,0.5747154619054857,0.5203107658157603
New South Wales,Rest of NSW,112,Richmond - Tweed,66,676,1181,263901,265824,Regional,1923,0.7286823467891368,0.4475163034622832,0.6141445657826313
New South Wales,Rest of NSW,113,Riverina,702,-1354,754,166302,166404,Regional,102,0.06133419922791066,0.45339202174357496,7.392156862745098
New South Wales,Rest of NSW,114,Southern Highlands and Shoalhaven,-314,844,560,164195,165285,Regional,1090,0.6638448186607387,0.3410578884862511,0.5137614678899083
New South Wales,Greater Sydney,115,Sydney - Baulkham Hills and Hawkesbury,1024,3871,2505,288267,295667,Capital city,7400,2.567064561673726,0.8689860441882006,0.3385135135135135
New South Wales,Greater Sydney,116,Sydney - Blacktown,4065,160,5063,443086,452374,Capital city,9288,2.096207056869321,1.1426675634075552,0.5451119724375538
New South Wales,Greater Sydney,117,Sydney - City and Inner South,1606,-5111,9366,363813,369674,Capital city,5861,1.6109924604123547,2.5743994854499426,1.5980208155604845
New South Wales,Greater Sydney,118,Sydney - Eastern Suburbs,1226,-5225,6261,278187,280449,Capital city,2262,0.8131221085097435,2.250644350742486,2.7679045092838197
New South Wales,Greater Sydney,119,Sydney - Inner South West,3609,-7720,11692,634576,642157,Capital city,7581,1.1946559592546835,1.8424901036282495,1.542276744492811
New South Wales,Greater Sydney,120,Sydney - Inner West,1348,-3542,5750,320741,324297,Capital city,3556,1.108682706607512,1.7927237241263199,1.6169853768278966
New South Wales,Greater Sydney,121,Sydney - North Sydney and Hornsby,1148,-4810,6453,444521,447312,Capital city,2791,0.6278668499350987,1.4516749489900365,2.3120745252597636
New South Wales,Greater Sydney,122,Sydney - Northern Beaches,692,-2600,3324,271240,272656,Capital city,1416,0.5220468957380917,1.2254829671139948,2.347457627118644
New South Wales,Greater Sydney,123,Sydney - Outer South West,2602,536,2061,318559,323758,Capital city,5199,1.632036765559912,0.6469759134100748,0.39642238892094633
New South Wales,Greater Sydney,124,Sydney - Outer West and Blue Mountains,2082,-203,1926,346844,350649,Capital city,3805,1.0970349782611202,0.5552928694167983,0.5061760840998686
New South Wales,Greater Sydney,125,Sydney - Parramatta,4545,-8396,11575,527816,535540,Capital city,7724,1.4633887566879367,2.192999075435379,1.498575867426204
New South Wales,Greater Sydney,126,Sydney - Ryde,883,-1800,3745,215778,218606,Capital city,2828,1.3106062712602768,1.7355800869412081,1.3242574257425743
New South Wales,Greater Sydney,127,Sydney - South West,4095,1188,5254,517164,527701,Capital city,10537,2.0374581370706393,1.0159253157605712,0.498623896744804
New South Wales,Greater Sydney,128,Sydney - Sutherland,783,132,1605,237654,240174,Capital city,2520,1.0603650685450277,0.6753515615137974,0.6369047619047619
Victoria,Rest of Vic.,201,Ballarat,481,1456,592,181756,184285,Regional,2529,1.391425867646735,0.3257113932965074,0.23408461842625544
Victoria,Rest of Vic.,202,Bendigo,354,764,538,172113,173769,Regional,1656,0.9621585818619163,0.3125853363778448,0.3248792270531401
Victoria,Rest of Vic.,203,Geelong,1807,3662,1721,348800,355990,Regional,7190,2.061353211009174,0.49340596330275227,0.23936022253129347
Victoria,Rest of Vic.,204,Hume,321,712,599,188133,189765,Regional,1632,0.867471416497903,0.3183917760307867,0.36703431372549017
Victoria,Rest of Vic.,205,Latrobe - Gippsland,400,2295,761,310277,313733,Regional,3456,1.1138434366711036,0.24526471507717298,0.22019675925925927
Victoria,Greater Melbourne,206,Melbourne - Inner,2891,-5978,18542,698038,713493,Capital city,15455,2.2140628447161905,2.656302378953581,1.1997411840828212
Victoria,Greater Melbourne,207,Melbourne - Inner East,127,-3134,7806,400213,405012,Capital city,4799,1.1991114731405528,1.9504613793155146,1.6265888726818087
Victoria,Greater Melbourne,208,Melbourne - Inner South,1020,-1263,6385,448196,454338,Capital city,6142,1.3703826004694375,1.4245999518067989,1.0395636600455878
Victoria,Greater Melbourne,209,Melbourne - North East,3848,2317,7313,583127,596605,Capital city,13478,2.3113318368039892,1.2541007362032628,0.5425879210565365
Victoria,Greater Melbourne,210,Melbourne - North West,4341,982,5620,462173,473116,Capital city,10943,2.3677281018146883,1.2159948763774604,0.5135703189253404
Victoria,Greater Melbourne,211,Melbourne - Outer East,1861,-2888,4644,532751,536368,Capital city,3617,0.6789288053893845,0.8717017893912916,1.2839369643350844
Victoria,Greater Melbourne,212,Melbourne - South East,7177,-3418,15771,939242,958772,Capital city,19530,2.0793363158802527,1.6791199712108276,0.8075268817204301
Victoria,Greater Melbourne,213,Melbourne - West,10675,4685,13268,951672,980300,Capital city,28628,3.0081792886624803,1.3941778259736548,0.46346234455777563
Victoria,Greater Melbourne,214,Mornington Peninsula,476,143,1819,315148,317586,Capital city,2438,0.773604782514882,0.577189130186452,0.7461033634126333
Victoria,Rest of Vic.,215,North West,325,-642,670,153409,153762,Regional,353,0.23010384006153486,0.436740999550222,1.8980169971671388
Victoria,Rest of Vic.,216,Shepparton,284,-326,654,138033,138645,Regional,612,0.44337223707374324,0.4737997435395883,1.0686274509803921
Victoria,Rest of Vic.,217,Warrnambool and South West,128,-144,456,127880,128320,Regional,440,0.3440725680325305,0.35658429777916795,1.0363636363636364
Queensland,Greater Brisbane,301,Brisbane - East,466,1449,1923,254672,258510,Capital city,3838,1.5070365018533645,0.7550888986618081,0.5010422094841063
Queensland,Greater Brisbane,302,Brisbane - North,848,34,2827,240328,244037,Capital city,3709,1.5433074797776372,1.176309044306115,0.7622000539228903
Queensland,Greater Brisbane,303,Brisbane - South,1800,-3119,8302,405453,412436,Capital city,6983,1.7222711387016496,2.0475862800373905,1.1888872977230416
Queensland,Greater Brisbane,304,Brisbane - West,265,-955,2865,202268,204443,Capital city,2175,1.075306029624063,1.4164375976427315,1.3172413793103448
Queensland,Greater Brisbane,305,Brisbane Inner City,1125,-2339,7680,329105,335571,Capital city,6466,1.9647225049756158,2.3336017380471277,1.1877513145685121
Queensland,Rest of Qld,306,Cairns,601,-383,2502,268688,271408,Regional,2720,1.0123265646400286,0.9311915679152029,0.9198529411764705
Queensland,Rest of Qld,307,Darling Downs - Maranoa,298,202,321,133348,134169,Regional,821,0.6156822749497556,0.24072352041275458,0.3909866017052375
